Date,Hora,Liga,Home,Away,Placar FT,Winrate,Profit
30.09.2023,10:00,Allsvenskan,Djurgården,Halmstad,1x0,1,"0,2"
30.09.2023,11:00,Ettan South,Lund,Åtvidaberg,1x1,1,"0,2"
30.09.2023,13:00,Russian Premier League,CSKA Moskva,Baltika,1x0,1,"0,2"
30.09.2023,13:30,Prim B Nacional,Defensores de Belgrano,All Boys,1x0,1,"0,2"
30.09.2023,16:30,Prim B Nacional,San Martín San Juan,Defensores Unidos,3x2,1,"0,2"
30.09.2023,20:00,Liga MX,Pachuca,Necaxa,1x1,1,"0,2"
01.10.2023,21:40,Liga MX,América,Pumas UNAM,1x0,1,"0,2"
01.10.2023,08:00,Hong Kong Premier League,Warriors,Rangers,2x1,1,"0,2"
01.10.2023,09:00,1st Division,Fredericia,Næstved,4x1,1,"0,2"
01.10.2023,09:00,Liga I,CS U Craiova,Botoşani,5x1,1,"0,2"
01.10.2023,09:15,First League,Arda,Etar,3x0,1,"0,2"
01.10.2023,10:00,Allsvenskan,Häcken,AIK,2x0,1,"0,2"
01.10.2023,10:00,Ekstraklasa,Raków Częstochowa,Radomiak Radom,3x0,1,"0,2"
01.10.2023,10:00,Prva Liga,Semendrija 1924,Novi Sad,1x0,1,"0,2"
01.10.2023,12:00,NB II,Vasas,Csákvári TK,1x1,1,"0,2"
01.10.2023,14:00,Primera División FPD,Cartaginés,Grecia,4x1,1,"0,2"
01.10.2023,15:45,Serie B,Vila Nova,Chapecoense,0x0,1,"0,2"
01.10.2023,18:30,Salvadoran Primera División,Águila,Firpo,0x2,0,-1
02.10.2023,15:00,Liga I,FCSB,Universitatea Cluj,2x1,1,"0,2"
02.10.2023,20:00,Serie A,Botafogo,Goiás,1x1,1,"0,2"
02.10.2023,20:00,Categoria Primera B,Deportes Quindío,Orsomarso,0x1,0,-1
02.10.2023,22:30,Primera División,Universitario,UTC Cajamarca,3x0,1,"0,2"
03.10.2023,15:45,EFL League One,Oxford United,Shrewsbury Town,3x0,1,"0,2"
03.10.2023,15:45,National League,Chesterfield,Bromley,2x0,1,"0,2"
03.10.2023,15:45,National League,Gateshead,Wealdstone,2x1,1,"0,2"
03.10.2023,15:45,National League,Southend United,Oxford City,2x0,1,"0,2"
03.10.2023,17:00,Primera División,Sporting Cristal,Sport Huancayo,2x0,1,"0,2"
03.10.2023,19:30,Serie B,Mirassol,Londrina,2x0,1,"0,2"
04.10.2023,15:45,Championship,Leicester City,Preston North End,3x0,1,"0,2"
06.10.2023,13:00,Damallsvenskan,Häcken W,Vittsjö,1x1,1,"0,2"
06.10.2023,13:00,Vysheyshaya Liga,Shakhtyor,Smorgon,2x0,1,"0,2"
06.10.2023,13:00,SuperLiga,Radnički Niš,Napredak,1x1,1,"0,2"
06.10.2023,14:00,Division 2 Sodra Gotaland,Hässleholms IF,IFK Hässleholm,3x1,1,"0,2"
06.10.2023,15:00,Liga I,Rapid Bucureşti,CSM Iaşi,3x2,1,"0,2"
06.10.2023,21:30,Serie B,Atlético GO,Ituano,1x0,1,"0,2"
07.10.2023,05:15,FNL,Vyškov,Viktoria Žižkov,2x0,1,"0,2"
07.10.2023,08:00,Kakkonen,JIPPO,Reipas,0x2,0,-1
07.10.2023,08:00,Regionalliga Nordost,Greifswalder FC,Rot-Weiß Erfurt,1x1,1,"0,2"
07.10.2023,09:00,Division 2 Norra Svealand,Karlberg,Gute,2x0,1,"0,2"
07.10.2023,09:00,2nd Division,Aarhus Fremad,AB,1x1,1,"0,2"
07.10.2023,10:00,Damallsvenskan,Hammarby,Kristianstad,1x2,0,-1
07.10.2023,10:00,Second League,Septemvri Sofia,Marek,0x0,1,"0,2"
07.10.2023,10:00,First League,Slovácko,Teplice,2x0,1,"0,2"
07.10.2023,10:00,2. Liga,Komárno,Považská Bystrica,2x0,1,"0,2"
07.10.2023,10:30,Uzbekistan Super League,Nasaf,Neftchi,2x0,1,"0,2"
07.10.2023,11:00,EFL League Two,Stockport County,Doncaster Rovers,1x0,1,"0,2"
07.10.2023,11:00,EFL League One,Bolton Wanderers,Carlisle United,1x3,0,-1
07.10.2023,11:00,Championship,Leeds United,Bristol City,2x1,1,"0,2"
07.10.2023,11:00,Championship,Leicester City,Stoke City,2x0,1,"0,2"
07.10.2023,12:30,PrvaLiga,Celje,Bravo,2x1,1,"0,2"
07.10.2023,13:00,First League,Baník Ostrava,Pardubice,1x1,1,"0,2"
07.10.2023,15:30,Super League,St. Gallen,Stade Lausanne-Ouchy,4x0,1,"0,2"
07.10.2023,16:00,Categoria Primera B,Fortaleza CEIF,Bogotá,2x1,1,"0,2"
07.10.2023,18:30,LFPB,Nacional Potosí,Independiente Petrolero,2x4,0,-1
08.10.2023,08:00,Regionalliga Nordost,BFC Dynamo,Luckenwalde,4x0,1,"0,2"
08.10.2023,09:00,Ukrainian Premier League,Rukh Vynnyky,Minai,0x0,1,"0,2"
08.10.2023,09:30,Bundesliga,LASK Linz,Rheindorf Altach,1x0,1,"0,2"
08.10.2023,10:00,A Lyga,FA Šiauliai,Dainava,0x0,1,"0,2"
08.10.2023,10:00,Prva Liga,OFK Beograd,Radnički Sr. Mitrovica,1x0,1,"0,2"
08.10.2023,10:30,Russian Premier League,Dinamo Moskva,Fakel,0x0,1,"0,2"
08.10.2023,11:00,3. Liga CFL,Sokol Hostouň,Motorlet Praha,5x2,1,"0,2"
08.10.2023,11:15,Segunda División,Real Valladolid,Mirandés,3x2,1,"0,2"
08.10.2023,11:30,Super League,Young Boys,Basel,3x0,1,"0,2"
08.10.2023,12:00,Montenegrin Second League,Bokelj,Lovćen,3x1,1,"0,2"
08.10.2023,12:30,PrvaLiga,Olimpija,Radomlje,1x1,1,"0,2"
08.10.2023,12:30,Montenegrin First League,Budućnost,Rudar,2x0,1,"0,2"
08.10.2023,12:30,SuperLiga,Čukarički,Voždovac,1x1,1,"0,2"
08.10.2023,12:30,SuperLiga,Bačka Topola,Spartak Subotica,0x2,0,-1
08.10.2023,13:00,Superliga,Midtjylland,Randers,2x2,1,"0,2"
08.10.2023,13:00,Super Liga,Slovan Bratislava,Trenčín,2x0,1,"0,2"
08.10.2023,13:30,Segunda División,CD Tenerife,Burgos CF,2x1,1,"0,2"
08.10.2023,15:30,Prim B Nacional,Defensores Unidos,Flandria,0x0,1,"0,2"
08.10.2023,16:00,Serie A,Palmeiras,Santos,1x2,0,-1
08.10.2023,16:00,Torneo Federal A,Gimnasia y Tiro,Sarmiento Resistencia,1x0,1,"0,2"
08.10.2023,16:30,Torneo Federal A,Douglas Haig,Defensores Belgrano VR,3x0,1,"0,2"
08.10.2023,16:50,Prim B Nacional,Chacarita Juniors,Estudiantes Caseros,1x1,1,"0,2"
08.10.2023,17:20,Primera División,ADT,Unión Comercio,3x0,1,"0,2"
08.10.2023,18:00,Salvadoran Primera División,Once Municipal,CD Platense,2x2,1,"0,2"
08.10.2023,18:30,Serie A,Fortaleza,América Mineiro,3x2,1,"0,2"
08.10.2023,19:00,Primera División FPD,Alajuelense,Sporting San José,0x2,0,-1
08.10.2023,20:10,Categoria Primera A,Independiente Medellín,Atlético Huila,2x0,1,"0,2"
09.10.2023,05:00,China League Two,Qingdao Red Lions,Yichun Grand Tiger,3x1,1,"0,2"
09.10.2023,08:30,China League One,Qingdao Youth Island,Jinan Xingzhou,1x1,1,"0,2"
10.10.2023,15:00,Primera C,Sportivo Italiano,Yupanqui,3x1,1,"0,2"
11.10.2023,16:00,National,Villefranche,Chasselay MDA,2x1,1,"0,2"
11.10.2023,17:15,Categoria Primera B,Patriotas Boyacá,Tigres,4x0,1,"0,2"
12.10.2023,21:30,Serie B,Vila Nova,Botafogo SP,3x1,1,"0,2"
13.10.2023,14:00,Division 2 Sodra Gotaland,IFK Hässleholm,Balkan,8x0,1,"0,2"
13.10.2023,14:30,Division 2 Norra Gotaland,Stenungsund,Vänersborgs FK,1x1,1,"0,2"
13.10.2023,20:00,Categoria Primera A,Deportivo Pasto,Unión Magdalena,3x1,1,"0,2"
13.10.2023,21:30,Serie B,Criciúma,Chapecoense,1x2,0,-1
14.10.2023,08:00,Ettan South,Oddevold,Norrby,3x2,1,"0,2"
14.10.2023,08:00,Oberliga Rheinland Pfalz Saar,Gonsenheim,Mechtersheim,1x0,1,"0,2"
14.10.2023,08:00,Regionalliga Nord,Hannover 96 II,Bremer SV,4x0,1,"0,2"
14.10.2023,08:30,3. Division,VSK Århus,Holstebro,0x1,0,-1
14.10.2023,09:00,Regionalliga Bayern,Aubstadt,Ansbach,2x0,1,"0,2"
14.10.2023,09:00,Regionalliga Bayern,Deutsche Jugend Kraft Vilzing,Wacker Burghausen,2x0,1,"0,2"
14.10.2023,09:00,2nd Division,Roskilde,Thisted,2x3,0,-1
14.10.2023,09:00,Oberliga Bayern Süd,TSV Kottern-St. Mang,TSV 1896 Rain am Lech,0x1,0,-1
14.10.2023,09:00,Regionalliga Südwest,Aalen,Bahlinger SC,0x2,0,-1
14.10.2023,09:00,Regionalliga Südwest,Stuttgarter Kickers,FSV Frankfurt,0x0,1,"0,2"
14.10.2023,10:00,Segunda División,Albion,Cerrito,1x1,1,"0,2"
14.10.2023,10:00,2. SNL,Bistrica,Tolmin,0x1,0,-1
14.10.2023,10:00,2nd Division,AB,Skive,0x0,1,"0,2"
14.10.2023,10:00,Druga HNL,Zrinski Jurjevac,Croatia Zmijavci,4x0,1,"0,2"
14.10.2023,10:00,3 Liga Group 4,Siarka Tarnobrzeg,KSZO,2x0,1,"0,2"
14.10.2023,11:00,EFL League Two,Swindon Town,Newport County,2x0,1,"0,2"
14.10.2023,11:00,EFL League Two,Wrexham,Salford City,3x2,1,"0,2"
14.10.2023,11:00,EFL League One,Lincoln City,Burton Albion,0x1,1,"0,2"
14.10.2023,11:00,Southern League Premier South,Merthyr Town,Plymouth Parkway,1x1,1,"0,2"
14.10.2023,11:00,Northern Premier League,Radcliffe Borough,Ilkeston Town,3x0,1,"0,2"
14.10.2023,11:00,Southern League Premier Central,Mickleover Sports,Royston Town,2x0,1,"0,2"
14.10.2023,11:00,Southern League Premier Central,Stamford,Alvechurch,0x1,1,"0,2"
14.10.2023,13:00,Druga HNL,Šibenik,Dubrava Zagreb,4x1,1,"0,2"
14.10.2023,15:30,Primera D,Centro Español,Deportivo Paraguayo,2x3,1,"0,2"
14.10.2023,16:00,Segunda División,RCD Espanyol,Real Valladolid,2x0,1,"0,2"
14.10.2023,16:30,Torneo Federal A,Argentino Monte Maíz,Ferro Carril Oeste LP,3x0,1,"0,2"
14.10.2023,17:00,Serie B,Novorizontino,Tombense,0x0,1,"0,2"
14.10.2023,19:00,Reserve League,Talleres Córdoba Res.,Atlético Tucumán Res.,2x1,1,"0,2"
14.10.2023,22:20,Categoria Primera A,Millonarios,Junior,1x0,1,"0,2"
15.10.2023,01:00,J3 League,Imabari,YSCC,0x2,0,-1
15.10.2023,01:55,J3 League,Ehime,Giravanz Kitakyushu,1x0,1,"0,2"
15.10.2023,05:45,Oberliga Hamburg,USC Paloma,Alsterbrüder,0x2,0,-1
15.10.2023,09:00,Segunda División,Burgos CF,Villarreal II,3x2,1,"0,2"
15.10.2023,09:30,Eerste Divisie,Willem II,Den Bosch,3x1,1,"0,2"
15.10.2023,10:00,Damallsvenskan,Kristianstad,KIF Örebro,2x0,1,"0,2"
15.10.2023,10:00,Premier Soccer League,Highlanders,Cranborne Bullets,0x0,1,"0,2"
15.10.2023,10:30,Montenegrin Second League,Igalo,Kom,1x2,0,-1
15.10.2023,11:00,3. Liga CFL,Sokol Zápy,Ústí nad Labem,2x5,0,-1
15.10.2023,12:30,Primera B,Deportes Temuco,Deportes Santa Cruz,2x1,1,"0,2"
15.10.2023,12:30,Primera B,San Luis,Univ. Concepción,2x3,1,"0,2"
15.10.2023,12:30,Segunda División,Progreso,Bella Vista,2x0,1,"0,2"
15.10.2023,13:00,Prva Liga,Mačva Šabac,Dubočica,0x1,0,-1
15.10.2023,13:30,Segunda División,SD Eibar,SD Huesca,1x1,1,"0,2"
15.10.2023,13:30,Segunda División,Leganés,SD Amorebieta,6x0,1,"0,2"
15.10.2023,18:00,Categoria Primera A,Rionegro Águilas,Alianza Petrolera,3x0,1,"0,2"
16.10.2023,22:05,Ascenso MX,Venados,Dorados,4x1,1,"0,2"
16.10.2023,15:30,Prim B Nacional,Estudiantes Río Cuarto,Nueva Chicago,1x2,0,-1
16.10.2023,15:30,Prim B Nacional,Almirante Brown,Temperley,2x0,1,"0,2"
16.10.2023,15:30,Prim B Nacional,Deportivo Morón,San Telmo,1x2,0,-1
18.10.2023,04:30,China League One,Nanjing City,Jinan Xingzhou,0x1,0,-1
18.10.2023,08:30,China League One,Hebei Kungfu,Heilongjiang Lava Spring,1x0,1,"0,2"
18.10.2023,08:30,China League One,Guangxi Baoyun,Dongguan United,2x0,1,"0,2"
18.10.2023,15:00,1. Liga Promotion,Brühl,Lugano II,1x0,1,"0,2"
18.10.2023,15:45,Welsh Premier League,Connah's Quay,Bala Town,1x1,1,"0,2"
19.10.2023,19:00,Serie A,Palmeiras,Atlético Mineiro,0x2,0,-1
19.10.2023,21:30,Serie A,Fluminense,Corinthians,3x3,1,"0,2"
20.10.2023,07:30,J1 League,Urawa Reds,Kashiwa Reysol,2x0,1,"0,2"
20.10.2023,07:30,K League 1,Pohang Steelers,Incheon United,1x1,1,"0,2"
20.10.2023,13:00,FNL,Příbram,Prostějov,1x0,1,"0,2"
20.10.2023,13:10,2. Liga,Ried,First Vienna,4x1,1,"0,2"
20.10.2023,13:10,2. Liga,Floridsdorfer AC,Amstetten,0x0,1,"0,2"
20.10.2023,13:15,First League,Lokomotiv Plovdiv,Beroe,1x2,0,-1
20.10.2023,14:00,1st Division,SønderjyskE,Kolding IF,4x0,1,"0,2"
20.10.2023,15:00,Eerste Divisie,AZ II,Oss,3x0,1,"0,2"
20.10.2023,15:00,Professional League,Al Fateh,Abha,4x1,1,"0,2"
20.10.2023,15:30,Serie B,Parma,Como,2x1,1,"0,2"
20.10.2023,15:45,Premier Division,Derry City,Shelbourne,0x0,1,"0,2"
20.10.2023,16:00,LFPB,Santa Cruz,Vaca Díez,2x1,1,"0,2"
20.10.2023,16:00,Segunda División,RCD Espanyol,Leganés,0x1,0,-1
20.10.2023,20:00,Liga Nacional de Fútbol de Guatemala,Comunicaciones,Antigua GFC,2x1,1,"0,2"
20.10.2023,21:30,Serie B,Mirassol,Guarani,0x0,1,"0,2"
20.10.2023,22:00,Liga MX,Atlas,Mazatlán,1x3,0,-1
